Priimek,Števec
prikl,0
tomić,5
trček,8
ban,0
cink,0
ferluga,0
kavčič,0
kotnik,0
prelog,0
ranc,0
šergan,0
zorčič,0
dekleva,0
brglez,2
košnik,0
horvat,5
koleša,4
kramar,0
matić,4
murgel,0
rajić,1
shaker,0
dolinšek,0
škodnik,0
škopac,0
zajc,0
zorman,1
gantar,0
hainz,0
hršak,0
kotnik,0
levičar,2
battelli,0
breznik,6
brinovšek,0
grims,0
irgl,0
lep,95
logar,5
mahnič,1
podkrajšek,0
pojbič,1
šircelj,0
muršič,0
nemec,5
horvat,5
vrtovec,0
kovačič,0
hanžek,0
kordiš,0
škoberne,0
vilfan,0
veber,1
krajnc,0
janša,2
göncz,13
tanko,0
novak,11
han,0
sluga,0
tonin,1
jurša,0
gorenak,0
vervega,3
potočnik,0
kopmajer,0
žibert,0
godec,0
krivec,17
lisec,0
pogačnik,1
žnidar,5
dimic,0
tašner,0
bizjak,1
lipicer,0
möderndorfer,1
verbič,0
mesec,12
čuš,0
laj,0
ljubič,0
počkaj,0
bratušek,0
lah,0
dobovšek,0
bačič,3
klanjšček,3
radič,0
tabaković,0
